Date,Person,Count,Denomination,Currency,Note
2017-09-19,Zach,1,0.01,USD,
2017-09-20,Dad,1,0.25,USD,
2017-09-20,Dad,2,0.01,USD,
2017-09-23,Zach,1,0.01,CAD,
2017-09-23,Dad,1,0.25,USD,
2017-09-25,Zach,1,0.01,USD,
2017-09-28,Zach,1,0.01,USD,
2017-10-03,Zach,1,0.01,USD,
2017-10-06,Zach,2,0.01,USD,
2017-10-10,Zach,1,0.01,USD,
2017-10-13,Noah,1,0.01,USD,
2017-10-13,Mom,1,0.01,USD,Individually texted to me
2017-10-14,Zach,1,0.01,USD,
2017-10-16,Zach,1,0.01,USD,
2017-10-17,Zach,1,0.01,USD,
2017-10-18,Zach,1,0.01,USD,
2017-10-19,Zach,1,0.01,USD,
2017-10-28,Zach,1,0.50,EUR,
2017-11-01,Zach,1,1.00,EUR,
2017-11-06,Zach,1,0.05,EUR,
2017-11-11,Zach,1,0.25,USD,
2017-11-11,Zach,1,0.10,USD,
2017-11-11,Zach,2,0.05,USD,
2017-11-11,Zach,1,0.01,USD,
2017-11-14,Zach,1,0.01,USD,
2017-11-16,Zach,1,0.01,USD,
2017-11-18,Dad,1,0.01,USD,"Super bent penny, might be a dupe"
2017-11-25,Zach,1,0.01,USD,
2017-11-30,Zach,1,0.01,USD,
2017-11-30,Zach,1,0.01,USD,
2017-12-02,Zach,1,0.01,USD,
2017-12-03,Zach,1,0.05,USD,
2017-12-03,Zach,1,0.01,USD,
2017-12-03,Zach,1,0.01,USD,
2017-12-03,Zach,1,0.01,USD,
2017-12-04,Zach,1,0.10,USD,
2017-12-05,Zach,1,0.01,USD,
2017-12-06,Zach,1,0.01,USD,
2017-12-07,Zach,1,0.01,USD,
2017-12-07,Zach,1,0.01,USD,
2017-12-07,Zach,1,0.01,USD,
2017-12-08,Zach,1,0.01,USD,
2017-12-09,Zach,2,0.01,USD,
2017-12-09,Zach,1,0.01,USD,
2017-12-09,Dad,1,0.01,USD,
2017-12-11,Zach,1,0.01,USD,
2017-12-11,Zach,1,0.01,USD,
2017-12-13,Zach,1,0.01,USD,
2017-12-14,Zach,1,0.01,USD,
2017-12-15,Zach,1,0.01,USD,
2017-12-17,Zach,1,0.01,USD,
2017-12-19,Dad,1,0.01,USD,
2017-12-20,Zach,2,0.01,USD,
2017-12-23,Zach,1,0.01,USD,
2017-12-23,Zach,1,0.10,USD,
2017-12-23,Zach,1,0.10,USD,
2017-12-23,Zach,1,0.01,USD,
2017-12-31,Zach,1,0.01,USD,
2017-12-31,Zach,1,0.01,USD,
2017-12-31,Zach,1,0.10,USD,
2018-01-01,Zach,2,0.01,USD,
2018-01-06,Dad,1,0.01,USD,
2018-01-06,Zach,2,0.01,USD,
2018-01-08,Zach,2,0.01,USD,
2018-01-09,Zach,1,0.10,USD,
2018-01-12,Zach,1,0.01,USD,
2018-01-14,Zach,1,0.01,USD,
2018-01-15,Zach,1,0.10,USD,
2018-01-19,Noah,1,0.01,USD,
2018-01-20,Zach,1,0.01,USD,
2018-01-21,Dad,1,0.01,USD,
2018-01-22,Zach,1,0.01,USD,
2018-01-25,Zach,1,0.01,USD,
2018-01-25,Zach,1,0.01,USD,
2018-01-27,Zach,1,0.25,USD,
